,Especies,Familia,Endémica ,Exótica
,Meotipa pulcherrima,Theridiidae,,Introducida
,Neopisinus cognatus,Theridiidae,,
,Neopisinus putus,Theridiidae,,
,Nesticodes rufipes,Theridiidae,,
,Nihonhimea tesselata,Theridiidae,,
,Parasteatoda nigrovittata,Theridiidae,,
,Paratheridula perniciosa,Theridiidae,,
,Phoroncidia triunfo,Theridiidae,,
,Phycosoma altum,Theridiidae,,
,Phycosoma lineatipes,Theridiidae,,
,Rhomphaea paradoxa,Theridiidae,,
,Rhomphaea procera,Theridiidae,,
,Rhomphaea projiciens,Theridiidae,,
,Spintharus flavidus,Theridiidae,,
,Steatoda ancorata,Theridiidae,,
,Steatoda moesta,Theridiidae,,
,Steatoda quadrimaculata,Theridiidae,,
,Stemmops bicolor,Theridiidae,,
,Stemmops questus,Theridiidae,,
,Styposis clausis,Theridiidae,,
,Styposis flavescens,Theridiidae,,
,Theridion adjacens,Theridiidae,,
,Theridion biolleyi,Theridiidae,Endémica ,
,Theridion cocosense,Theridiidae,Endémica ,
,Theridion costaricaense,Theridiidae,,
,Theridion dilucidum,Theridiidae,,
,Theridion grecia,Theridiidae,,
,Theridion istokpoga,Theridiidae,,
,Theridion trepidum,Theridiidae,,
,Theridion tristani,Theridiidae,Endémica ,
,Theridion turrialba,Theridiidae,Endémica ,
,Theridula gonygaster,Theridiidae,,
,Thymoites boquete,Theridiidae,,
,Thymoites caracasanus,Theridiidae,,
,Thymoites confraternus,Theridiidae,,
,Thymoites delicatulus,Theridiidae,,
,Thymoites illudens,Theridiidae,,
,Thymoites indicatus,Theridiidae,,
,Thymoites luculentus,Theridiidae,,
,Thymoites maderae,Theridiidae,,
,Thymoites missionensis,Theridiidae,,
,Thymoites vivus,Theridiidae,Endémica ,
,Tidarren haemorrhoidale,Theridiidae,,
,Tidarren mixtum,Theridiidae,,
,Tidarren sisyphoides,Theridiidae,,
45,Baalzebub baubo,Theridiosomatidae,,
,Epeirotypus brevipes,Theridiosomatidae,,
,Epeirotypus chavarria,Theridiosomatidae,Endémica ,
,Epilineutes globosus,Theridiosomatidae,,
,Naatlo fauna,Theridiosomatidae,,
,Theridiosoma goodnightorum,Theridiosomatidae,,
,Wendilgarda clara,Theridiosomatidae,,
,Wendilgarda galapagensis,Theridiosomatidae,Endémica ,
46,Epicadus granulatus,Thomisidae,,
,Epicadus heterogaster,Thomisidae,,
,Epicadus taczanowskii,Thomisidae,,
,Epicadus tigrinus,Thomisidae,,
,Mecaphesa asperata,Thomisidae,,
,Mecaphesa celer,Thomisidae,,
,Misumenoides magnus,Thomisidae,,
,Misumenoides parvus,Thomisidae,,
,Misumenops pallens,Thomisidae,,
,Strophius hirsutus,Thomisidae,,
,Synema affinitatum,Thomisidae,,
,Synema maculosum,Thomisidae,,
,Tmarus jocosus,Thomisidae,Endémica ,
,Xysticus advectus,Thomisidae,,
47,Trachelas bispinosus,Trachelidae,,
,Trachelas digitus,Trachelidae,Endémica ,
,Trachelas planus,Trachelidae,Endémica ,
,Trachelas prominens,Trachelidae,,
,Trachelas quadridens,Trachelidae,,
,Trachelas similis,Trachelidae,,
,Trachelas transversus,Trachelidae,,
48,Cupiennius coccineus,Trechaleidae,,
,Cupiennius cubae,Trechaleidae,,
,Cupiennius foliatus,Trechaleidae,,
,Cupiennius getazi,Trechaleidae,,
,Cupiennius granadensis,Trechaleidae,,
,Cupiennius salei,Trechaleidae,,
,Enna chickeringi,Trechaleidae,,
,Enna eberhardi,Trechaleidae,,
,Enna maya,Trechaleidae,,
,Enna osaensis,Trechaleidae,Endémica ,
,Enna pecki,Trechaleidae,Endémica ,
,Enna zurqui,Trechaleidae,Endémica ,
,Hesydrus habilis,Trechaleidae,,
,Syntrechalea tenuis,Trechaleidae,,
,Trechalea extensa,Trechaleidae,,
,Trechalea tirimbina,Trechaleidae,Endémica ,
49,Ariston albicans,Uloboridae,,
,Miagrammopes alboguttatus,Uloboridae,,
,Philoponella herediae,Uloboridae,Endémica ,
,Philoponella tingens,Uloboridae,,
,Philoponella vicina,Uloboridae,,
,Uloborus campestratus,Uloboridae,,
,Uloborus eberhardi,Uloboridae,Endémica ,
,Uloborus segregatus,Uloboridae,,
,Uloborus trilineatus,Uloboridae,,
,Zosis geniculata,Uloboridae,,
50,Ishania tentativa,Zodariidae,Endémica ,
,Tenedos certus,Zodariidae,,
,Tenedos cufodontii,Zodariidae,,
51,Tengella radiata,Zoropsidae,,
